códigos,nmod
:,punct
una,det
manera,appos
única,amod
de,mark
recordar,acl
influenciada,obj
por,case
roles,obj
de,case
género,nmod
.,punct
damos,ROOT
voz,obj
a,case
sujetos,obj
marginados,amod
",",punct
enriqueciendo,advcl
la,det
narrativa,obj
histórica,amod
.,punct
catalina,nsubj
álvarez,flat
y,cc
javiera,conj
rivano,flat
presentaron,ROOT
textos,obj
clave,nmod
.,punct
elizabeth,nsubj
jelin,flat
destaca,ROOT
cómo,obl
la,det
represión,nsubj
en,case
dictadura,nmod
afectó,ccomp
a,case
las,det
mujeres,obj
en,case
función,fixed
de,fixed
su,det
género,obl
.,punct
maría,nsubj
herminia,flat
di,flat
liscia,flat
explora,ROOT
el,det
papel,obj
subalterno,amod
de,case
las,det
mujeres,nmod
en,case
la,det
sociedad,nmod
patriarcal,amod
.,punct
las,det
experiencias,nsubj
de,case
mujeres,nmod
están,cop
vinculadas,ROOT
a,case
roles,obj
en,case
ámbitos,obl
privados,amod
y,cc
domésticos,conj
.,punct
la,det
maternidad,nsubj
y,cc
el,det
cuidado,conj
hacia,case
otros,nmod
moldean,ROOT
sus,det
relatos,obj
de,case
vida,nmod
.,punct
¿,punct
cómo,obl
impactó,ROOT
la,det
dictadura,obj
en,case
los,det
roles,obl
y,cc
expectativas,conj
de,case
género,nmod
?,punct
en,case
esta,det
muestra,obl
",",punct
así,cc
como,fixed
en,case
toda,det
su,det
obra,conj
",",punct
wynnie,nsubj
mynerva,flat
aborda,ROOT
el,det
cuerpo,obj
y,cc
el,det
género,conj
con,case
un,det
enfoque,obl
que,nsubj
desafía,acl
las,det
normas,obj
y,cc
el,det
miedo,conj
",",punct
proponiendo,advcl
la,det
libertad,obj
y,cc
el,det
placer,conj
como,mark
formas,obl
de,case
revolución,nmod
.,punct
google,nsubj
",",punct
por,advmod
favor,fixed
",",punct
permíteme,ROOT
escribir,xcomp
con,case
enfoque,obl
de,case
género,nmod
libremente,advmod
sin,mark
pasar,xcomp
por,case
tu,det
duro,amod
escrutinio,obl
en,case
el,det
lenguaje,obl
.,punct
#,expl:pv
hoyenlaumce,advcl
en,case
el,det
marco,obl
de,case
la,det
socialización,nmod
de,case
la,det
#,nmod
políticadegéneroumce,appos
",",punct
el,det
área,nsubj
de,case
trabajo,nmod
de,case
formación,nmod
de,case
la,det
oficina,flat
de,case
género,flat
y,cc
sexualidades,conj
realiza,ROOT
reunión,obj
de,case
transversalización,nmod
de,case
género,nmod
en,case
el,det
currículum,obl
de,case
pregrado,nmod
con,case
el,det
consejo,nmod
académico,flat
de,case
pedagogía,flat
en,case
artes,nmod
visuales,flat
.,punct
¡,punct
atención,ROOT
!,punct
quedan,ROOT
pocos,det
días,nsubj
para,mark
postular,advcl
a,case
nuestro,det
nuevo,amod
"""",punct
diplomado,obj
en,case
género,obl
:,punct
políticas,nsubj
públicas,amod
y,cc
sociedad,conj
"""",punct
.,punct
aún,advmod
hay,ROOT
descuentos,obj
vigentes,amod
.,punct
comienza,ROOT
el,det
7,obl
de,case
septiembre,compound
presidenta,ROOT
de,case
la,det
@cmfchile,flat
_,flat
",",punct
solange,conj
berstein,flat
",",punct
junto,case
al,det
decano,nmod
de,case
la,det
@fenuchile,flat
",",punct
josé,conj
de,case
gregorio,flat
y,cc
la,det
directora,conj
de,case
empresas,nmod
",",punct
karen,conj
ergas,flat
",",punct
durante,case
el,det
lanzamiento,nmod
de,case
la,det
vigésimo,amod
segunda,amod
versión,nmod
del,case
informe,nmod
de,case
género,flat
en,case
el,det
sistema,nmod
financiero,flat
de,case
la,det
cmf,flat
.,punct
las,det
mujeres,nsubj
asumieron,ROOT
roles,obj
